id,label
10.1007/3-540-44541-2_11,2D-Structure Drawings of Similar Molecules
10.1007/3-540-44541-2_12,Fast Layout Methods for Timetable Graphs
10.1007/3-540-44541-2_13,An Algorithmic Framework for Visualizing Statecharts
10.1007/3-540-44541-2_14,Visualization of the Autonomous Systems Interconnections with Hermes
10.1007/3-540-44541-2_15,Drawing Hypergraphs in the Subset Standard (Short Demo Paper)
10.1007/3-540-44541-2_16,Knowledge Discovery from Graphs
10.1007/3-540-44541-2_17,A Multilevel Algorithm for Force-Directed Graph Drawing
10.1007/3-540-44541-2_18,A Fast Multi-scale Method for Drawing Large Graphs
10.1007/3-540-44541-2_10,How to Draw the Minimum Cuts of a Planar Graph
10.1007/3-540-62495-3_60,A pairing technique for area-efficient orthogonal drawings (extended abstract)
10.1007/3-540-62495-3_61,Experimental and theoretical results in interactive orthogonal graph drawing
10.1007/3-540-62495-3_62,An interactive system for drawing graphs
10.1007/3-540-62495-3_63,Automatic graph clustering (system demonstration)
10.1007/3-540-62495-3_64,Qualitative visualization of processes: Attributed graph layout and focusing techniques
10.1007/3-540-58950-3_387,Upward drawing on the plane grid using less ink
10.1007/3-540-58950-3_388,Proximity drawability: A survey extended abstract
10.1007/3-540-58950-3_385,Upward planarity testing of outerplanar dags (extended abstract)
10.1007/3-540-58950-3_386,Optimal-area upward drawings of AVL trees
10.1007/3-540-58950-3_389,Proximity constraints and representable trees (extended abstract)
10.1007/3-540-58950-3_380,CG: A graph drawing system using graph-grammar parsing
10.1007/3-540-58950-3_383,Molecular graph eigenvectors for molecular coordinates
10.1007/3-540-58950-3_384,On the computational complexity of upward and rectilinear planarity testing
10.1007/3-540-58950-3_381,A demonstration of interactive graph based visual language applications
10.1007/3-540-58950-3_382,A simple algorithm for drawing large graphs on small screens
10.1007/BFb0021808,Generalized fisheye views of graphs
10.1007/3-540-58950-3_376,Redrawing a graph within a geometric tolerance
10.1007/BFb0021807,New results on a visibility representation of graphs in 3D
10.1007/3-540-58950-3_377,On the difficulty of embedding planar graphs with inaccuracies
10.1007/3-540-58950-3_374,TOSCANA 〞 A graphical tool for analyzing and exploring data
10.1007/BFb0021809,Drawing high degree graphs with low bend numbers
10.1007/3-540-58950-3_375,Characterization and recognition of point-halfspace and related orders
10.1007/BFb0021804,Vertex splitting and tension-free layout
10.1007/BFb0021803,COMAIDE: Information visualization using cooperative 3D diagram layout
10.1007/BFb0021806,Graph-Drawing contest report
10.1007/3-540-58950-3_378,A system for drawing graphs with geometric symmetry
10.1007/BFb0021805,Drawing stressed planar graphs in three dimensions
10.1007/3-540-58950-3_379,Demonstration of the interactive graph visualization system da Vinci
10.1007/BFb0021800,3D graph drawing with simulated annealing
10.1007/BFb0021802,The strength of weak proximity (extended abstract)
10.1007/BFb0021801,The botanical beauty of random binary trees
10.1007/3-540-58950-3_372,Drawing telecommunication networks
10.1007/3-540-58950-3_373,Reduction of visual complexity in dynamic graphs
10.1007/3-540-58950-3_370,GraphEd: A graphical platform for the implementation of graph algorithms (extended abstract and demo)
10.1007/3-540-58950-3_371,Graph layout through the VCG tool
10.1007/BFb0021819,Layout algorithms of graph-like diagrams for GRADE windows graphic editors
10.1007/3-540-58950-3_365,Graph-drawing contest report
10.1007/BFb0021818,Constraint-based spring-model algorithm for graph layout
10.1007/3-540-58950-3_366,Visibility graphs and oriented matroids (extended abstract)
10.1007/3-540-58950-3_363,The polyhedral approach to the maximum planar subgraph problem: New chances for related problems
10.1007/3-540-58950-3_364,"Crossing numbers of graphs, lower bound techniques and algorithms: A survey"
10.1007/BFb0021815,On representations of some thickness-two graphs
10.1007/3-540-58950-3_369,Directed VR-representable graphs have unbounded dimension
10.1007/BFb0021814,Contact graphs of curves
10.1007/BFb0021817,Exact and heuristic algorithms for 2-layer straightline crossing minimization
10.1007/3-540-58950-3_367,Rectangle-visibility representations of bipartite graphs
10.1007/BFb0021816,Drawing force-directed graphs using Optigraph
10.1007/3-540-58950-3_368,On the number of directions in visibility representations of graphs (extended abstract)
10.1007/BFb0021811,Upward drawings on planes and spheres
10.1007/BFb0021810,The drawing of configurations
10.1007/BFb0021813,Recognizing leveled-planar dags in linear time
10.1007/BFb0021812,Grid embedding of 4-connected plane graphs
10.1007/3-540-58950-3_361,Minimum-width grid drawings of plane graphs extend abstract
10.1007/3-540-58950-3_362,"Regular orientations, arboricity, and augmentation"
10.1007/3-540-58950-3_360,Regular edge labelings and drawings of planar graphs
10.1007/3-540-58950-3_354,A flow approach to upward drawings of toroidal maps
10.1007/BFb0021829,CLaX 〞 A visualized compiler
10.1007/3-540-58950-3_355,Improved algorithms and bounds for orthogonal drawings
10.1007/3-540-58950-3_352,3-D visualization of program information (extended abstract and system demonstration)
10.1007/3-540-58950-3_353,3D layout of reachability graphs of communicating processes
10.1007/BFb0021826,Automatic drawing of compound digraphs for a real-time power system simulator
10.1007/3-540-58950-3_358,On drawing a graph convexly in the plane (extended abstract)
10.1007/BFb0021825,Issues in interactive orthogonal graph drawing (preliminary version)
10.1007/3-540-58950-3_359,On drawing angle graphs
10.1007/BFb0021828,A fast heuristic for hierarchical Manhattan layout
10.1007/3-540-58950-3_356,On bend-minimum orthogonal upward drawing of directed planar graphs
10.1007/BFb0021827,Validating graph drawing aesthetics
10.1007/3-540-58950-3_357,Grid layouts of block diagrams 〞 bounding the number of bends in each connection (extended abstract)
10.1007/BFb0021822,Portable graph layout and editing
10.1007/BFb0021821,How to draw outerplanar minimum weight triangulations
10.1007/BFb0021824,Incremental layout in DynaDAG
10.1007/BFb0021823,A parallel simulated annealing algorithm for generating 3D layouts of undirected graphs
10.1007/3-540-58950-3_351,Three-dimensional graph drawing
10.1007/BFb0021820,Grid intersection and box intersection graphs on surfaces
10.1007/3-540-46648-7_23,On 3-Layer Crossings and Pseudo Arrangements
10.1007/3-540-46648-7_24,Visualizing Algorithms for the Design and Analysis of Survivable Networks
10.1007/3-540-46648-7_21,The Vertex-Exchange Graph: A New Concept for Multi-level Crossing Minimisation
10.1007/3-540-46648-7_22,Using Sifting for k-Layer Straightline Crossing Minimization
10.1007/3-540-46648-7_20,An Algorithm for Drawing Compound Graphs
10.1007/3-540-46648-7_29,An Heuristic for Graph Symmetry Detection
10.1007/BFb0021837,Swan: A data structure visualization system
10.1007/3-540-46648-7_27,Straight-Line Drawings of Protein Interactions
10.1007/BFb0021836,GOVE Grammar-Oriented Visualisation Environment
10.1007/3-540-46648-7_28,Art of Drawing
10.1007/3-540-46648-7_25,LayoutShow: A Signed Applet/Application for Graph Drawing and Experimentation
10.1007/3-540-46648-7_26,Centrality in Policy Network Drawings
10.1007/BFb0021833,Graph layout adjustment strategies
10.1007/BFb0021832,TOSCANA management system for conceptual data
10.1007/BFb0021835,Generating customized layouts
10.1007/BFb0021834,A generic compound graph visualizer/manipulator: D-ABDUCTOR
10.1007/BFb0021831,Directed graphs drawing by Clan-based decomposition
10.1007/BFb0021830,Crossing numbers of meshes
10.1007/978-3-642-11805-0_7,Planar Drawings of Higher-Genus Graphs
10.1007/978-3-642-11805-0_8,Splitting Clusters to Get C-Planarity
10.1007/978-3-642-11805-0_9,On the Characterization of Level Planar Trees by Minimal Patterns
10.1007/978-3-642-11805-0_3,Drawing Hamiltonian Cycles with No Large Angles
10.1007/3-540-46648-7_12,Drawing Planar Graphs with Circular Arcs
10.1007/978-3-642-11805-0_4,"Area, Curve Complexity, and Crossing Resolution of Non-planar Graph Drawings"
10.1007/3-540-46648-7_13,Drawing Graphs in the Hyperbolic Plane
10.1007/978-3-642-11805-0_5,On the Perspectives Opened by Right Angle Crossing Drawings
10.1007/3-540-46648-7_10,Graph Clustering Using Distance-k Cliques
10.1007/978-3-642-11805-0_6,Drawing 3-Polytopes with Good Vertex Resolution
